class1991,class2000,class2011,male1,smoking1991,smoking2000,smoking2011,drink1991,drink2000,drink2011,prest00,prest91,prest11,smokdif,drinkdif
4,4,8,1.12,11.25,12,13.2,2.4000001,2.4000001,2.2,60,60,75,1.9499998,-.20000005
7,4,8,1.12,.5,0,.5,.5,.5,2.5,60,55,75,0,2
11,4,8,1,0,0,0,0,0,0,60,32,75,0,0
11,4,8,1.12,4,,.5,1,1,3,60,32,75,-3.5,2
1,4,11,1,0,0,0,0,0,0,60,25,32,0,0
1,4,11,1.12,10,10,5,.5,.5,1.5,60,25,32,-5,1
4,4,11,1.12,17.428572,12,7.3000002,1.2,1.5,1.8,60,60,32,-10.128572,.5999999
7,4,11,1.12,0,,0,0,0,0,60,55,32,0,0
8,4,11,1.12,8.333333,2.5,5.25,2,2.75,1.25,60,75,32,-3.083333,-.75
11,4,11,1,0,0,0,.25,.58333331,0,60,32,32,0,-.25
11,4,11,1.12,14.833333,12.833333,9.416667,1.9583334,2.0833333,2.2916667,60,32,32,-5.416666,.33333337
1,4,13,1.12,10,25,10,3,5,2,60,25,49,0,-1
4,4,13,1,0,0,0,.39393941,.60606062,.42424244,60,60,49,0,.030303031
4,4,13,1.12,9.3999996,7.6086955,5.9230771,1.6538461,2.1538463,1.9230769,60,60,49,-3.4769225,.26923072
7,4,13,1,0,0,0,.33333334,.33333334,.83333331,60,55,49,0,.49999997
8,4,13,1,0,0,0,0,0,0,60,75,49,0,0
8,4,13,1.12,8,11,5.1999998,1.8,2.2,2.5999999,60,75,49,-2.8000002,.79999995
11,4,13,1,0,0,0,0,0,0,60,32,49,0,0
11,4,13,1.12,13.333333,16.666666,11.666667,3,3.3333333,3.3333333,60,32,49,-1.666666,.33333325
1,7,1,1,.5,.5714286,.5714286,0,0,0,55,25,25,.071428597,0
4,7,1,1,0,0,0,0,0,0,55,60,25,0,0
4,7,1,1.12,13,13.666667,8.909091,1.1818181,.72727275,1.2727273,55,60,25,-4.090909,.090909123
7,7,1,1,0,0,0,.0625,0,0,55,55,25,0,-.0625
7,7,1,1.12,5.6666665,12.5,3,1.5714285,1.8571428,1.1428572,55,55,25,-2.6666665,-.42857134
8,7,1,1,0,0,0,0,0,0,55,75,25,0,0
8,7,1,1.12,,,3,1,0,0,55,75,25,,-1
11,7,1,1,.75862068,.68965518,.71875,.59375,.71875,.3125,55,32,25,-.039870679,-.28125
11,7,1,1.12,8.875,11.5,3.7777777,2.3888888,2.2777777,1.2777778,55,32,25,-5.0972223,-1.111111
13,7,1,1.12,20,4,0,0,0,0,55,49,25,-20,0
1,7,4,1,0,0,0,0,0,0,55,25,60,0,0
1,7,4,1.12,5,10,14,3.5,1.5,1,55,25,60,9,-2.5
4,7,4,1,0,0,0,0,0,.2,55,60,60,0,.2
4,7,4,1.12,7.7272725,8.454545,10,2.1666667,2,2.25,55,60,60,2.2727275,.083333254
7,7,4,1,,0,0,0,0,0,55,55,60,,0
7,7,4,1.12,7.1428571,9.666667,3.8,1.5,1.9,2.5,55,55,60,-3.3428571,1
8,7,4,1,0,0,0,0,2,2,55,75,60,0,2
8,7,4,1.12,,20,20,1,4,5,55,75,60,,4
11,7,4,1,0,0,0,0,0,0,55,32,60,0,0
11,7,4,1.12,10.25,10.555555,13.230769,2.3846154,2.0769231,2.5384614,55,32,60,2.9807692,.15384603
1,7,7,1,0,0,0,0,0,0,55,25,55,0,0
1,7,7,1.12,12.5,10,12.5,0,1.5,2,55,25,55,0,2
4,7,7,1,0,0,0,0,0,.14285715,55,60,55,0,.14285715
4,7,7,1.12,7.6428571,9.166667,6.1666665,1.3333334,2.4444444,2.3888888,55,60,55,-1.4761906,1.0555555
7,7,7,1,0,0,0,.69999999,.5,.60000002,55,55,55,0,-.099999964
7,7,7,1.12,8.4324322,11.342857,10.342105,1.9736842,2.2631578,2.8421052,55,55,55,1.9096727,.86842096
8,7,7,1,0,0,0,0,0,0,55,75,55,0,0
8,7,7,1.12,2.5,20,10.8,1,1.8,3.8,55,75,55,8.3000002,2.8
11,7,7,1,0,0,0,.40000001,.40000001,.30000001,55,32,55,0,-.099999994
11,7,7,1.12,6.6666665,10.615385,10.555555,1.5185186,1.7777778,1.4074074,55,32,55,3.8888888,-.11111116
1,7,8,1,0,0,0,1,0,0,55,25,75,0,-1
4,7,8,1.12,10,7,16,3,3,5,55,60,75,6,2
7,7,8,1.12,10,7.1999998,13,3.2,2.2,2.2,55,55,75,3,-1
11,7,8,1.12,1,5,0,2.5,3.5,2,55,32,75,-1,-.5
1,7,11,1,1,7.5,5,0,1.5,0,55,25,32,4,0
4,7,11,1.12,0,0,0,0,0,0,55,60,32,0,0
7,7,11,1,0,0,0,0,0,0,55,55,32,0,0
7,7,11,1.12,13.75,9.1999998,8.6000004,2,3.2,2.5999999,55,55,32,-5.1499996,.5999999
8,7,11,1.12,10,,12,2.5,.5,1,55,75,32,2,-1.5
11,7,11,1,0,0,0,0,.2,.40000001,55,32,32,0,.40000001
11,7,11,1.12,7.625,12.307693,7.5294118,2.4117646,2,2.5294118,55,32,32,-.095588207,.11764717
1,7,13,1,0,0,0,0,0,0,55,25,49,0,0
4,7,13,1,0,0,0,0,0,0,55,60,49,0,0
4,7,13,1.12,11.666667,6.6666665,3,.85714287,.71428573,1.8571428,55,60,49,-8.666667,.99999994
7,7,13,1,.90909094,1.6666666,1.25,.33333334,.33333334,.91666669,55,55,49,.34090906,.58333337
7,7,13,1.12,13,7.375,6.8000002,2.2,2.3,2.5,55,55,49,-6.1999998,.29999995
8,7,13,1,0,0,0,1,0,0,55,75,49,0,-1
8,7,13,1.12,12,10.2,13.2,2,3,3.2,55,75,49,1.1999998,1.2
11,7,13,1,0,0,0,0,0,0,55,32,49,0,0
11,7,13,1.12,10,30,10,2,2.5,.5,55,32,49,0,-1.5
13,7,13,1,0,0,0,2,4,0,55,49,49,0,-2
13,7,13,1.12,20,20,0,5,5,0,55,49,49,-20,-5
4,8,1,1.12,0,0,0,0,2,1,75,60,25,0,1
7,8,1,1,0,0,0,0,0,0,75,55,25,0,0
11,8,1,1,0,0,0,0,0,0,75,32,25,0,0
11,8,1,1.12,12.666667,5,5.3333335,1.6666666,1.6666666,1.6666666,75,32,25,-7.3333335,0
4,8,4,1,0,0,0,0,1.5,0,75,60,60,0,0
4,8,4,1.12,7.5,7.6666665,10,1.75,1.75,3,75,60,60,2.5,1.25
7,8,4,1,0,0,0,0,0,1,75,55,60,0,1
7,8,4,1.12,15,15,20,2,4,4,75,55,60,5,2
8,8,4,1.12,7.75,15,5,2.5,1,1.25,75,75,60,-2.75,-1.25
11,8,4,1.12,0,0,0,0,0,0,75,32,60,0,0
1,8,7,1,0,0,0,0,0,0,75,25,55,0,0
4,8,7,1,0,,0,0,0,0,75,60,55,0,0
4,8,7,1.12,10,20,17,2,2,4,75,60,55,7,2
7,8,7,1,0,0,0,0,0,0,75,55,55,0,0
7,8,7,1.12,18.333334,6.6666665,7,3.6666667,1,3.3333333,75,55,55,-11.333334,-.33333349
8,8,7,1.12,10,20,20,5,5,5,75,75,55,10,0
11,8,7,1,0,0,0,0,0,0,75,32,55,0,0
11,8,7,1.12,0,0,0,1.5,1,0,75,32,55,0,-1.5
4,8,8,1.12,12.25,.33333334,10.25,2.25,2,3.5,75,60,75,-2,1.25
8,8,8,1.12,9,12.5,16,1.4,2,2.4000001,75,75,75,7,1.0000001
8,8,11,1.12,15,5,3,4,2.5,2,75,75,32,-12,-2
11,8,11,1,0,0,0,0,1,1.25,75,32,32,0,1.25
11,8,11,1.12,10.333333,2.8,5,2.5,2,2.5,75,32,32,-5.333333,0
4,8,13,1,0,0,0,2,0,0,75,60,49,0,-2
4,8,13,1.12,11.5,10,5,0,0,.5,75,60,49,-6.5,.5
7,8,13,1,0,0,0,0,.5,0,75,55,49,0,0
7,8,13,1.12,2,0,1,2,0,0,75,55,49,-1,-2
8,8,13,1,0,0,0,.5,0,0,75,75,49,0,-.5
8,8,13,1.12,14.4,9.6000004,9.8000002,3.4000001,3,2.5999999,75,75,49,-4.5999994,-.80000019
11,8,13,1.12,0,0,0,0,0,0,75,32,49,0,0
1,9,1,1,0,0,0,0,0,0,62,25,25,0,0
4,9,1,1,0,0,0,0,0,0,62,60,25,0,0
