A5,hh_altersmok,smoking,log_inc,class,gender,A12,han
0,3,3,9.1999226,4,1,1,1
0,,,8.9058514,,1,,1
1,,,8.588583,11,2,0,1
1,10,0,8.8755665,11,2,0,1
1,8,0,7.6473088,11,2,0,1
1,20,0,9.9990082,11,2,0,1
1,0,0,10.391147,11,2,0,1
1,40,0,9.0711784,4,2,0,1
1,40,0,10.451518,11,2,0,1
1,6,0,9.7535944,11,2,0,1
1,0,0,10.683959,4,2,0,1
2,,,8.0662079,1,2,0,1
2,10,0,8.2677059,11,2,0,1
2,8,0,7.0925736,11,2,0,1
2,20,0,9.6930447,1,2,0,1
,,,10.126831,,2,,1
3,,,7.1499166,12,1,1,1
3,10,0,8.1593752,,1,2,1
3,8,0,7.3556409,11,1,2,1
3,20,0,10.158304,4,1,2,1
3,,,10.003446,4,1,2,1
3,,,8.5231752,,1,,1
3,,,10.375403,,1,,1
3,,,9.3834534,,1,,1
3,,,9.5989981,,1,,1
3,,,8.0662079,12,1,0,1
3,10,0,8.1593752,,1,1,1
3,8,0,6.1762829,,1,2,1
3,20,0,9.6930447,12,1,2,1
3,,,9.998889,4,1,2,1
3,,,8.5231752,,1,,1
3,,,10.375403,,1,,1
3,,,9.3834534,,1,,1
3,,,9.5989981,,1,,1
0,,,8.7136364,11,1,0,1
0,5,20,9.5363293,11,1,0,1
0,5,20,6.933423,11,1,0,1
0,0,20,7.7956467,13,1,0,1
,,,7.8320141,,1,,1
1,,,8.8403387,11,2,0,1
1,25,0,9.350276,11,2,0,1
1,25,0,8.3064718,11,2,0,1
1,20,0,8.1420631,1,2,0,1
0,0,0,8.2579041,1,2,0,1
0,0,0,6.9800758,1,2,0,1
0,0,0,5.8464389,1,2,0,1
0,0,0,7.4383836,1,2,0,1
0,0,0,7.7493224,1,2,0,1
3,,,8.7136364,11,1,0,1
3,25,0,9.5252972,11,1,1,1
3,25,0,7.6207051,11,1,1,1
0,0,0,7.1087894,11,1,1,1
0,,,8.8989725,11,1,1,1
0,,,8.1441956,,1,,1
0,,,8.0108023,,1,,1
0,,,8.8368587,,1,,1
0,5,10,9.8433838,8,1,0,1
7,25,0,9.3238478,11,2,1,1
7,25,0,8.3064718,11,2,1,1
1,0,0,6.8717828,11,2,1,1
1,0,0,9.1683607,11,2,1,1
1,0,0,9.4361467,1,2,1,1
1,0,0,9.2764397,4,2,0,1
1,0,0,10.159034,11,2,0,1
1,15,0,10.515786,11,2,0,1
5,,,9.3105478,,1,,1
5,,,8.1256313,,1,,1
3,,,7.1087894,,1,0,1
3,,,8.2286215,,1,0,1
3,0,0,8.1441956,,1,2,1
3,,,8.0108023,,1,,1
3,,,8.8368587,,1,,1
3,,,9.8433838,,1,,1
0,0,10,9.4708223,11,1,2,1
0,,,9.7894783,4,1,2,1
1,10,0,8.7624025,11,2,1,1
1,,,9.2498817,11,2,2,1
3,,,8.5836048,,1,,1
0,0,10,9.8598185,4,1,1,1
0,0,10,10.001509,4,1,1,1
0,0,0,10.646468,11,1,1,1
0,20,20,10.687732,11,1,0,1
1,10,0,9.8799419,4,2,0,1
1,10,0,9.8222828,11,2,0,1
1,0,0,10.624642,11,2,0,1
1,,,10.434998,,2,,1
0,0,2,9.8031149,4,1,0,1
1,,,8.72258,,1,,1
1,2,0,9.8276863,4,2,0,1
0,0,0,9.3263445,4,2,0,1
0,0,0,9.3426838,4,2,0,1
0,0,0,10.448134,4,2,0,1
0,30,30,10.12016,11,1,0,1
0,26,30,9.9998932,4,1,0,1
0,0,30,8.4763708,1,1,1,1
0,0,1,9.2222691,4,1,1,1
1,60,0,10.143505,11,2,0,1
1,56,0,9.8943577,4,2,0,1
1,30,0,9.3021383,1,2,0,1
1,1,0,9.2928419,4,2,0,1
0,0,0,9.9314919,11,1,1,1
0,0,1,9.4954653,7,1,2,1
0,0,0,9.2217674,11,1,2,1
0,0,4,10.483186,11,1,1,1
1,0,0,9.6578426,11,2,0,1
1,1,0,9.3562326,11,2,0,1
1,0,0,9.9725504,4,2,0,1
1,4,0,10.366907,11,2,0,1
3,60,0,10.320414,4,2,0,1
3,56,0,10.066357,4,2,0,1
0,0,0,9.8706198,4,2,0,1
1,0,0,9.6614161,4,2,0,1
5,,,8.9975595,,2,,1
5,,,7.8240461,,2,,1
5,,,10.043684,,1,,1
5,46,10,10.027473,4,1,3,1
5,,,8.9975595,,1,,1
3,,,7.8240461,,1,,1
5,,,10.043684,,2,,1
5,,,9.7183619,,2,,1
3,,,8.9975595,,2,,1
3,,,7.8240461,,2,,1
5,56,0,9.7183619,1,2,2,1
7,,,8.9975595,,2,,1
7,,,7.8240461,,2,,1
7,,,10.043684,,1,,1
7,,,9.7183619,,1,,1
1,,,8.9975595,,1,,1
0,,,7.8240461,,1,,1
0,-2.3841858e-07,10,10.588855,11,1,2,1
0,3.5,7,10.857459,4,1,2,1
1,10,0,10.496538,11,2,1,1
1,10.5,0,10.462151,4,2,1,1
3,10,0,10.228827,4,1,4,1
3,,,10.144471,,1,,1
0,0,0,10.601614,13,1,3,1
,0,0,9.9213276,4,,3,0
1,0,0,10.580497,13,2,0,1
,0,0,10.399403,13,,0,0
3,0,0,10.150334,7,2,5,1
,0,0,10.757051,7,,5,0
0,6,6,9.7573051,13,1,2,1
0,0,8,10.146904,13,1,1,1
1,6,6,8.6586924,1,2,0,1
1,8,0,9.0942554,1,2,0,1
0,1,2,11.139153,4,1,2,1
0,-1.1920929e-07,5,10.878299,4,1,2,1
1,3,0,10.46918,4,2,2,1
1,5,0,10.275511,4,2,2,1
3,,,9.9433489,,2,1,1
3,5,0,9.7417526,,2,2,1
0,13.333333,0,10.102339,13,1,1,1
0,13.333333,0,10.621327,13,1,1,1
3,3.333333,10,9.942708,4,1,2,1
3,3.333333,10,10.718852,4,1,2,1
7,13.333333,0,9.8201056,4,2,1,1
7,13.333333,0,10.405625,4,2,2,1
5,,,9.3236694,,1,,1
,,,9.9850674,,,,0
0,21.25,10,9.06425,1,1,1,1
0,13.333332,20,10.401082,4,1,0,1
1,31.25,0,9.9898853,13,2,0,1
1,33.333332,0,10.383788,13,2,0,1
3,16.25,15,10.190199,4,1,3,1
3,,,9.7922878,,1,,1
7,31.25,0,9.06425,1,2,2,1
7,33.333332,0,9.7922878,1,2,2,1
5,,,9.06425,,2,0,1
5,,,9.7922878,,2,1,0
0,-2.3841858e-07,10,11.196844,4,1,2,1
0,10,20,10.985632,4,1,3,1
1,10,0,10.823771,1,2,1,1
1,30,0,10.044119,1,2,2,1
3,10,0,10.622952,4,1,3,1
3,,,10.044119,,1,,1
0,0,20,10.465957,4,1,0,1
0,0,0,9.9950027,1,1,2,1
1,20,0,10.936466,13,2,0,1
1,0,0,10.466432,13,2,0,1
7,0,0,10.242338,4,2,3,0
0,15,1,10.758966,7,1,2,1
0,0,0,10.491274,4,1,3,1
1,16,0,10.3936,4,2,1,1
1,0,0,9.392662,1,2,2,1
3,1.0000005,15,10.530762,4,1,3,1
3,0,0,9.392662,1,1,3,0
0,0,0,9.7126293,1,1,0,1
0,2.9802322e-08,1,10.626194,13,1,0,1
1,0,0,9.3384399,1,2,0,1
1,1,0,9.942708,1,2,0,1
3,0,0,9.9742565,4,1,2,1
3,1,0,10.434115,4,1,2,1
7,0,0,9.6399555,1,2,2,1
0,,,9.163249,,1,,1
1,13.333334,0,9.163249,1,2,0,1
3,5.333334,8,10.083306,4,1,3,1
7,13.333334,0,10.036268,4,2,3,1
5,,,9.163249,,1,0,1
0,12.5,0,9.7291346,13,1,3,1
0,25,0,10.673595,13,1,3,1
1,2.5,10,8.9618788,1,2,0,1
1,5,20,9.4879723,1,2,0,1
3,12.5,0,9.6316786,4,1,4,1
3,25,0,10.524064,4,1,3,1
7,12.5,0,9.6158056,8,2,4,1
7,25,0,10.1346,4,2,2,1
5,,,8.9618788,,1,0,1
5,,,9.4879723,,1,0,1
0,0,10,10.073483,7,1,2,1
0,6.666666,10,10.753638,7,1,2,1
1,10,0,8.6492739,1,2,0,1
1,16.666666,0,9.2873011,1,2,0,1
3,,,9.2873011,,1,,0
7,16.666666,0,9.8416119,7,2,3,0
5,,,10.203592,,1,,0
0,0,0,9.2392521,4,2,2,1
0,0,0,10.03012,4,2,2,1
1,,,9.2798662,,1,,1
3,,,9.2798662,,1,,1
,,,9.5396442,,,,0
0,0,1,9.7291279,7,1,2,1
0,3.333333,10,10.616962,7,1,2,1
1,1,0,9.3896799,1,2,0,1
1,13.333333,0,10.072326,7,2,0,1
7,13.333333,0,11.187887,4,2,5,1
5,,,9.9159098,,1,,1
0,0,0,11.552275,7,1,4,1
0,0,0,10.881814,7,1,2,1
1,0,0,10.692248,7,2,2,1
1,0,0,10.881814,7,2,2,1
3,,,10.692248,,1,0,1
3,,,10.051908,,1,1,1
0,0,10,8.7483053,1,1,1,1
0,0,8,9.2271976,1,1,0,1
1,10,0,9.6740742,13,2,0,1
1,8,0,10.086226,13,2,0,1
0,3,6,10.236382,4,1,3,1
0,1.5,3,10.807098,4,1,4,1
1,9,0,10.221941,4,2,3,1
1,4.5,0,10.747422,4,2,2,1
3,,,9.268609,,2,,1
,,,10.183767,,,,0
0,15,30,10.472015,4,1,4,1
0,-4.7683716e-07,20,10.500857,4,1,4,1
1,45,0,10.332452,4,2,3,1
1,20,0,10.47296,4,2,5,1
3,,,9.6364794,,1,1,1
3,20,0,9.7017794,,1,2,1
0,15,10,9.392662,1,1,0,1
0,0,0,8.1125278,1,1,0,1
1,25,0,10.26813,13,2,0,1
1,0,0,10.127431,13,2,0,1
5,,,9.392662,,1,,1
3,,,9.392662,,1,,1
7,,,9.392662,,2,,1
0,0,20,10.594131,13,1,4,1
0,0,20,11.198899,13,1,2,1
1,20,0,10.39513,13,2,0,1
1,20,0,10.905038,13,2,0,1
0,,,7.8397775,4,1,1,0
0,0,0,7.9095187,4,1,1,0
1,,,7.7522664,1,2,0,0
1,0,0,7.0758762,1,2,0,0
3,,,7.59168,4,2,3,0
3,0,0,7.6123762,4,2,3,0
5,,,7.0620546,1,2,,0
5,,,7.0758762,,2,,0
0,,,8.0337267,7,1,1,0
0,10,20,8.1990023,13,1,1,0
1,,,7.6555848,1,2,0,0
1,,,7.6555848,1,2,0,0
1,30,0,7.2979851,1,2,0,0
3,,,8.129178,7,1,3,0
,,,6.89252,,1,,0
0,,,8.2624559,4,1,2,0
0,10,20,7.6855745,4,1,2,0
1,,,7.1455116,4,2,2,0
1,30,0,7.055934,4,2,2,0
3,,,7.0547953,1,2,,0
3,,,6.8076253,,2,,0
0,,,7.3767772,4,2,0,0
0,8.75,0,7.3726811,1,2,1,0
1,,,8.0194912,4,1,0,0
1,8.75,0,8.1466789,4,1,1,0
3,,,7.9555058,4,1,2,0
3,1.75,7,8.0557594,4,1,2,0
3,,,7.9555058,4,2,2,0
7,8.75,0,7.8815207,4,2,2,0
5,,,7.3767772,1,2,,0
5,,,7.3726811,,2,,0
0,,,8.4529705,8,1,1,0
0,2.0000005,20,8.5185814,8,1,1,0
1,,,8.2829332,8,2,2,0
1,22,0,8.4151487,7,2,2,0
3,,,8.1105413,4,1,3,0
3,20,2,8.1647797,4,1,3,0
0,,,8.162672,1,1,1,0
0,2.9999995,20,8.2716608,13,1,1,0
1,,,8.162672,1,2,0,0
1,23,0,8.2716608,13,2,0,0
3,,,7.8809352,,1,3,0
3,20,3,8.175108,4,1,3,0
0,,,8.0827408,,1,1,0
0,26.666666,0,8.7526894,13,1,1,0
3,,,8.0873003,4,1,3,0
3,6.666666,20,8.3888321,4,1,3,0
9,,,8.0718107,4,2,3,0
7,26.666666,0,8.361166,4,2,3,0
5,,,7.5401406,,1,,0
5,,,7.8150778,,1,,0
0,,,7.6524887,1,1,0,0
0,2,1,7.9906445,13,1,0,0
0,2,1,7.9906445,13,1,0,0
0,2,1,7.9906445,13,1,0,0
1,,,7.6524887,1,2,0,0
1,,,7.6524887,1,2,0,0
1,3,0,7.1492887,1,2,0,0
0,,,6.9919677,1,2,0,0
0,,,6.9919677,1,2,0,0
0,0,0,8.2540922,13,2,0,0
0,0,0,8.2540922,13,2,0,0
0,0,0,8.2540922,13,2,0,0
0,0,0,8.2540922,13,2,0,0
0,,,8.355958,1,1,2,0
0,,,8.8500738,13,1,2,0
1,,,8.355958,1,2,0,0
1,,,8.8500738,13,2,0,0
3,,,8.1090021,,1,3,0
3,,,8.3927422,4,1,3,0
3,,,8.3927422,4,1,3,0
0,,,7.8248677,1,1,2,0
0,2.8,0,7.7729044,13,1,2,0
1,,,7.4966831,1,2,0,0
1,,,7.7729044,13,2,0,0
3,,,7.7149701,7,1,4,0
3,.80000007,2,8.1705704,7,1,4,0
8,,,7.4549837,4,2,1,0
7,2.8,0,8.1591921,4,2,2,0
5,,,7.0049324,12,1,3,0
5,2.8,0,7.9947538,4,1,3,0
5,,,7.0049324,12,1,1,0
5,2.8,0,7.2264709,,1,2,0
5,,,7.0049324,12,1,0,0
5,,,7.2264709,,1,1,0
0,,,7.7527165,4,2,0,0
0,16.666666,0,6.6589093,1,2,0,0
3,,,8.0152245,4,1,3,0
3,6.666666,10,7.521697,4,1,3,0
8,,,7.8314934,4,2,3,0
7,16.666666,0,7.4335246,4,2,3,0
5,,,7.3329496,12,2,2,0
,,,6.6589093,,2,,0
5,,,7.3329496,1,1,,0
5,,,6.6589093,,1,,0
0,,,7.9988785,1,2,0,0
0,21.666664,20,7.2482877,13,2,0,0
1,,,8.1852436,8,1,0,0
1,36.666664,5,8.3103399,8,1,0,0
3,,,7.8698664,8,1,2,0
3,,,7.8956952,8,1,2,0
8,,,7.8698664,4,2,2,0
7,41.666664,0,7.8183079,4,2,2,0
5,,,7.4251289,1,2,,0
5,,,7.2482877,,2,,0
0,,,8.1462393,8,1,1,0
0,0,0,8.3376169,8,1,1,0
1,,,7.9505649,4,2,0,0
1,0,0,7.4501495,13,2,0,0
3,,,7.311604,12,1,3,0
3,0,0,7.6449766,4,1,4,0
2,,,7.311604,1,2,0,0
2,0,0,7.2226534,1,2,0,0
0,,,7.7187223,8,1,2,0
0,,,7.7187223,8,1,2,0
0,,,7.8489652,8,1,2,0
1,,,7.4519868,4,2,1,0
1,,,7.5585585,4,2,1,0
3,,,7.0821147,12,2,,0
3,,,7.0758762,,2,,0
0,,,7.6286993,1,1,,0
0,,,7.6286993,1,1,,0
1,,,7.6286993,1,2,,0
5,,,7.2467766,12,2,5,0
0,,,8.0258865,4,1,3,0
0,5,10,7.951705,4,1,3,0
1,,,7.8475804,4,2,3,0
1,,,7.8475804,4,2,3,0
1,,,7.8475804,4,2,3,0
1,15,0,7.8218088,4,2,3,0
3,,,7.4820814,1,1,,0
3,,,7.231586,,1,,0
0,,,7.9390497,1,1,2,0
0,,,7.9390497,1,1,2,0
1,,,7.7559786,1,2,,0
3,,,7.7656932,4,1,3,0
0,,,7.9322615,4,1,3,0
0,2.5,5,7.9856253,4,1,3,0
1,,,7.9096069,4,2,4,0
1,7.5,0,7.9389496,4,2,4,0
3,,,7.38307,1,2,,0
3,,,7.2330317,,2,,0
0,,,7.7896199,1,2,0,0
0,0,0,7.491991,1,2,0,0
3,,,8.0017567,4,2,2,0
3,,,8.0017567,4,2,2,0
,,,7.2801738,,2,,0
0,,,9.2404852,1,1,0,1
0,17.5,20,8.5779161,13,1,0,1
0,6.25,20,9.3921671,13,1,0,1
0,0,0,9.4068937,13,1,0,1
0,25,0,10.586584,13,1,0,1
0,,,9.4420872,,1,,1
1,,,8.9127483,1,2,0,1
1,37.5,0,9.0959387,8,2,0,1
1,26.25,0,9.3903532,13,2,0,1
1,0,0,9.0182104,1,2,0,1
1,25,0,10.586584,13,2,0,1
1,0,0,9.8816509,13,2,0,1
0,3,1,4.8926706,1,2,0,1
0,0,0,10.881739,13,2,0,1
8,,,9.0206366,4,2,3,1
7,37.5,0,9.3046494,4,2,3,1
7,26.25,0,8.3168325,4,2,3,1
7,0,0,7.4087729,1,2,3,1
7,25,0,10.586584,4,2,3,1
7,0,0,9.4420872,1,2,3,1
7,,,6.5021086,,2,,1
3,,,9.0308599,4,1,2,1
3,27.5,10,9.3306971,4,1,2,1
3,25.25,1,9.4028044,4,1,2,1
3,0,0,9.3802519,4,1,2,1
3,5,20,9.2418394,4,1,2,1
3,0,0,8.8985844,4,1,2,1
3,,,6.5021086,,1,,1
5,,,8.9127483,1,1,,1
5,,,9.0959387,,1,,1
5,,,9.198,,1,,1
5,,,9.0182104,,1,0,1
5,,,10.422281,,1,1,1
5,0,0,9.4420872,,1,2,1
5,,,6.5021086,,1,,1
0,,,8.8795128,1,1,0,1
0,0,0,9.5461864,13,1,0,1
0,0,0,8.9775248,13,1,0,1
0,0,0,7.9010072,13,1,0,1
,,,8.9173107,,1,,1
1,,,7.9527173,1,2,0,1
1,,,7.9527173,1,2,0,1
1,,,8.6458645,1,2,0,1
1,,,7.9527173,1,2,0,1
1,0,0,9.5053387,13,2,0,1
1,0,0,8.7952795,13,2,0,1
1,0,0,7.4085307,13,2,0,1
1,0,0,9.5763712,,2,0,1
0,0,0,9.6843357,13,2,0,1
0,0,0,9.9033537,13,2,0,1
0,0,0,10.925866,13,2,0,1
0,,,8.3413219,4,1,3,1
0,4,8,8.1612072,4,1,3,1
0,5,10,8.8104601,4,1,3,1
0,-2.3841858e-07,10,9.0143251,4,1,3,1
0,2.9802322e-08,1,9.2156591,4,1,3,1
0,2.9802322e-08,1,9.4387503,4,1,3,1
1,,,8.2637014,4,2,3,1
1,12,0,8.0902224,4,2,3,1
1,15,0,8.7552652,7,2,3,1
1,10,0,9.0143251,4,2,3,1
1,1,0,9.2156591,4,2,3,1
1,1,0,9.5299568,4,2,3,1
3,,,7.6565404,4,1,0,1
3,,,7.6565404,4,1,0,1
3,,,7.3148279,,1,,1
3,,,7.9529667,,1,0,1
3,10,0,8.1373959,,1,2,1
3,1,0,8.3072948,12,1,3,1
3,1,0,8.5878382,1,1,3,1
0,,,8.5449152,1,1,1,1
0,0,0,8.6051579,13,1,1,1
0,0,0,8.5905714,13,1,1,1
,,,8.4763708,,1,,1
1,,,8.2162371,1,2,0,1
1,0,0,8.4762125,1,2,0,1
1,0,0,6.904531,1,2,0,1
0,0,0,8.4763708,1,2,0,1
0,0,0,9.2648287,1,2,0,1
0,0,0,8.8308353,1,2,0,1
0,0,0,1.6094379,1,2,0,1
5,,,8.2162371,12,2,0,1
5,0,0,8.4762125,12,2,1,1
5,0,0,7.3099961,12,2,3,1
5,0,0,8.7640533,4,2,3,1
5,0,0,9.6077738,7,2,3,1
5,0,0,9.6928902,4,2,4,1
5,,,1.6094379,,2,,1
0,,,8.1381741,4,1,3,1
0,,,8.1381741,4,1,3,1
0,0,0,7.86905,4,1,3,1
0,5,10,8.9092684,8,1,3,1
0,-2.3841858e-07,10,9.4495668,8,1,5,1
0,7.5,15,9.1086769,8,1,5,1
0,-2.3841858e-07,10,6.2146082,7,1,5,1
0,0,0,9.9955788,4,1,5,1
1,,,7.998827,4,2,3,1
1,0,0,7.9175653,4,2,3,1
1,15,0,8.4476805,8,2,3,1
1,10,0,9.6679344,4,2,3,1
1,22.5,0,9.1086769,4,2,3,1
1,10,0,6.2146082,1,2,3,1
1,0,0,9.9578409,13,2,3,1
3,,,7.4269438,12,2,0,1
3,,,7.1221242,,2,0,1
3,,,7.8906732,,2,1,1
3,10,0,8.7327347,,2,2,1
3,,,8.1979055,12,2,3,1
3,10,0,6.2146082,12,2,3,1
3,0,0,9.9955788,4,2,5,1
0,,,8.3624258,7,1,2,1
0,0,0,8.8209791,13,1,2,1
0,0,0,8.6076488,13,1,2,1
1,,,8.1987143,4,2,1,1
1,0,0,8.4591599,13,2,1,1
1,,,8.4301138,13,2,1,1
3,,,8.3793726,4,1,5,0
,,,7.9134822,,1,,0
3,,,7.5271511,12,2,4,1
3,0,0,8.1559057,4,2,4,1
3,0,0,8.7598295,4,2,4,1
0,,,8.4493065,4,1,0,1
0,0,20,9.039794,4,1,0,1
0,0,20,8.5496607,4,1,0,1
0,0,0,9.123147,13,1,0,1
1,,,7.5909104,1,2,0,1
1,20,0,8.3504391,1,2,0,1
1,20,0,7.698483,1,2,0,1
,,,7.6868505,,2,,1
3,,,7.9204574,4,1,0,1
3,20,0,8.6219206,4,1,0,1
3,20,0,8.1271095,4,1,0,1
3,0,0,8.9820585,4,1,2,1
3,,,7.1148629,1,1,0,1
3,20,0,8.3504391,1,1,0,1
3,20,0,7.698483,1,1,0,1
,,,8.3799982,,1,,1
0,,,8.2594481,1,1,2,1
0,,,8.7367973,1,1,2,1
0,,,8.7367973,1,1,2,1
0,1,0,8.8489742,13,1,2,1
0,2,0,8.4738474,13,1,2,1
0,3,0,7.8823147,13,1,2,1
,,,5.2983174,,1,,1
0,,,8.8989115,,1,,1
1,,,8.7367973,1,2,0,1
1,0,1,8.2849131,13,2,0,1
1,0,2,8.7771511,13,2,0,1
1,0,3,7.377759,13,2,0,1
1,0,0,5.2983174,13,2,0,1
1,0,0,8.8989115,1,2,0,1
0,,,8.1502285,4,1,3,1
0,4,8,8.5749483,4,1,3,1
0,10,20,8.2374792,4,1,3,1
0,0,0,7.377759,7,1,3,1
0,7.5,15,8.8189754,4,1,3,1
1,,,7.6697612,4,2,3,1
1,12,0,7.9205484,4,2,3,1
1,30,0,8.1373959,4,2,3,1
1,0,0,8.7640533,7,2,3,1
1,22.5,0,7.4508543,1,2,3,1
3,,,7.3031497,1,2,,1
3,,,7.3031497,1,2,,1
3,,,7.4850874,,2,,1
3,,,7.3901815,,2,,1
3,,,7.377759,,2,0,1
3,,,7.4508543,,2,1,1
0,,,8.7049122,1,2,0,1
0,1.0000002,10,8.5201254,13,2,0,1
0,5,2,7.9836674,1,2,0,1
0,0,0,10.219757,13,2,,1
0,0,0,6.3346109,13,2,0,1
0,0,0,9.4189796,13,2,0,1
0,30,0,9.3934946,13,2,0,1
1,,,5.8081427,,2,,1
3,,,7.8334508,4,1,2,1
3,,,8.650547,4,1,2,1
3,,,8.650547,4,1,2,1
3,10,1,7.6804342,4,1,2,1
3,1.9999998,5,8.6175814,4,1,2,1
3,,,10.185655,4,1,,1
3,10,20,8.0080328,1,1,2,1
0,20,20,6.906755,1,1,2,1
8,,,8.4731302,12,2,1,1
5,11,0,8.121088,,2,1,1
9,7,0,8.2395935,,2,3,1
5,0,0,10.185655,4,2,5,1
,,,6.3346109,,2,,1
5,,,8.7011805,,2,,1
0,,,8.1662741,1,1,0,0
0,85,20,8.7745867,13,1,0,0
0,60.5,1,6.8752322,13,1,0,0
0,125,10,7.192934,13,1,0,0
0,30,20,7.0948272,13,1,0,0
0,0,0,9.9309082,13,1,1,0
1,,,7.5601873,1,2,0,0
1,105,0,8.1615944,1,2,0,0
1,61.5,0,6.9819345,1,2,0,0
,,,7.192934,,2,,0
3,,,7.9360185,4,1,1,0
3,85,20,8.4285307,4,1,1,0
3,21.500002,40,7.6727581,4,1,1,0
3,115,20,7.192934,13,1,1,0
3,20,30,9.2638807,4,1,1,0
3,0,0,8.3793097,1,1,2,0
8,,,7.5601873,1,2,1,0
7,105,0,8.1615944,1,2,1,0
3,61.5,0,6.1710043,1,2,1,0
7,,,8.802372,1,2,1,0
7,50,0,7.6544433,1,2,1,0
7,0,0,8.3793097,1,2,1,0
5,,,7.5601873,1,2,,0
5,,,8.1615944,,2,0,0
5,,,6.9819345,,2,0,0
5,,,7.192934,,2,1,0
5,50,0,7.6544433,,2,1,0
5,0,0,8.3793097,,2,4,0
3,,,7.9360185,4,1,2,0
3,95,10,8.4285307,4,1,2,0
3,61.5,0,7.6727581,4,1,2,0
,,,7.192934,,1,,0
3,,,7.9360185,4,1,2,0
3,85,20,8.6261854,4,1,2,0
3,61.5,0,7.6727581,4,1,2,0
,,,7.192934,,1,,0
5,,,8.1615944,,1,,0
5,,,6.9819345,,1,,0
5,,,7.192934,,1,,0
5,,,7.6019793,,2,,0
5,,,6.9819345,,2,,0
5,,,7.192934,,2,,0
0,,,8.5169888,1,1,2,1
0,0,0,8.5588036,13,1,2,1
0,6.5,1,7.6515956,13,1,,1
0,8,3,4.6051702,13,1,2,1
1,,,8.0913763,1,2,0,1
1,0,0,7.2153692,1,2,0,1
1,7.5,0,7.6515956,13,2,0,1
1,3,8,4.6051702,1,2,0,1
3,,,8.410182,4,2,4,1
3,0,0,7.980783,4,2,5,1
,,,7.3802557,,2,,1
3,,,8.0913763,12,2,4,1
3,0,0,8.3720379,4,2,4,1
3,7.5,0,6.8475804,8,2,4,1
3,,,8.0913763,1,1,2,1
3,0,0,8.28512,4,1,2,1
3,2.5,5,7.3802557,4,1,2,1
0,,,7.9640303,8,1,1,1
0,2,0,8.0927372,8,1,2,1
0,0,0,8.4592285,8,1,4,1
1,,,7.7270241,4,2,2,1
1,2,0,8.0283337,13,2,2,1
1,0,0,8.3948936,4,2,4,1
3,,,7.2604103,12,1,3,1
3,1,1,7.3176284,12,1,5,1
3,1,1,7.3176284,12,1,5,1
3,0,0,8.5384979,8,1,5,1
0,,,7.7448425,4,1,3,1
0,2.333333,7,7.7020907,4,1,3,1
0,0,0,8.3613491,4,1,3,1
1,,,7.73247,4,2,3,1
1,9.333333,0,7.6764598,4,2,3,1
1,0,0,8.337698,4,2,3,1
3,,,7.1417437,1,1,0,1
3,,,6.803472,,1,0,1
3,,,7.3673844,,1,0,1
2,,,7.1417437,,2,0,1
2,9.333333,0,6.803472,1,2,0,1
6,0,0,7.3673844,1,2,0,1
0,,,8.6390038,4,1,0,1
0,10,10,8.2393932,13,1,0,1
0,10,10,8.2393932,13,1,0,1
0,1.1920929e-07,4,9.0087023,13,1,0,1
1,,,7.8665304,1,2,0,1
1,20,0,8.2393932,13,2,0,1
1,4,0,9.0087023,13,2,0,1
3,,,8.2553349,4,1,2,1
3,20,0,8.3563766,4,1,2,1
3,4,0,8.8928328,4,1,2,1
0,,,8.2496529,8,1,2,1
0,18,10,7.7872047,4,1,2,1
0,18,10,7.7872047,4,1,2,1
0,,,7.9220195,8,1,3,1
1,,,7.5899916,1,2,1,1
1,28,0,8.5582533,13,2,1,1
1,0,0,7.8068318,4,2,1,1
3,,,7.8887458,4,1,3,1
3,,,7.8887458,4,1,3,1
3,20,8,8.1745825,4,1,3,1
3,,,7.7652864,4,1,3,1
0,,,7.8272767,1,1,1,1
0,,,7.8272767,1,1,1,1
0,0,0,8.3493423,13,1,2,1
0,0,0,8.803875,13,1,2,1
,,,8.2532272,,1,,1
1,,,7.8272767,1,2,0,1
1,0,0,7.70859,1,2,0,1
1,0,0,7.0154428,1,2,0,1
1,0,0,8.5564137,1,2,0,1
0,0,0,8.9146261,13,2,0,1
3,,,7.9473567,4,1,3,0
,,,6.6099782,,1,,0
0,,,6.6293106,1,2,0,1
0,,,6.6293106,1,2,0,1
0,,,6.6293106,1,2,0,1
0,,,6.6293106,1,2,0,1
0,0,0,,13,2,0,1
0,0,0,8.0941706,13,2,0,1
0,0,0,8.0941706,13,2,0,1
0,0,0,8.0941706,13,2,0,1
0,,,8.8873768,13,2,0,1
0,0,0,,13,2,0,1
0,0,0,,13,2,0,1
0,0,0,9.6410837,13,2,0,1
0,,,6.5467281,1,1,1,1
0,,,6.5467281,1,1,1,1
0,,,6.5467281,1,1,1,1
0,0,0,8.8771372,13,1,1,1
0,0,0,8.6099453,13,1,1,1
0,0,0,8.2453842,13,1,1,1
0,0,0,,13,1,1,1
0,2,1,9.789423,13,1,1,1
0,0,0,9.764226,13,1,1,1
1,,,6.5467281,1,2,0,1
1,0,0,8.8771372,13,2,0,1
1,0,0,8.8771372,13,2,0,1
1,0,0,8.8771372,13,2,0,1
1,,,8.6099453,13,2,0,1
1,0,0,9.2882271,13,2,0,1
1,0,0,,13,2,0,1
1,1,2,9.6830902,13,2,0,1
1,0,0,9.532424,13,2,0,1
0,,,7.81247,4,1,1,1
