A5,hh_altersmok,smoking,log_inc,class,gender,A12,han
0,0,20,10.941996,13,2,2,1
5,20,0,9.9281797,,2,1,1
0,10,0,10.87676,13,2,2,1
1,0,10,10.899178,13,1,2,1
3,10,0,11.208189,4,1,4,1
7,10,0,11.085702,7,2,5,1
5,10,0,10.230335,,2,1,1
0,45,4,10.899205,4,2,2,1
1,34,15,10.924739,7,1,2,1
3,19.000002,30,10.865389,4,1,3,1
0,0,0,11.654425,13,2,2,1
3,0,0,12.324744,4,2,5,1
0,0,0,11.092963,13,1,2,1
1,0,0,11.036616,13,2,2,1
0,0,0,11.716599,7,2,5,0
1,0,0,12.454453,7,1,6,1
3,0,0,11.243603,,2,1,0
1,0,0,11.068397,13,1,5,1
0,0,0,11.312134,7,2,5,0
0,0,0,10.988532,7,2,5,1
1,0,0,11.418081,4,1,,1
3,,,10.313988,,1,,1
0,0,0,11.220566,7,1,5,1
1,0,0,11.259967,7,2,5,1
0,0,0,11.034593,8,1,5,1
1,0,0,10.165144,,2,2,1
3,,,10.165144,,2,,1
0,0,0,10.784534,4,1,5,1
1,0,0,11.131204,7,2,5,1
3,,,10.096933,,2,,1
0,5,10,11.198097,7,1,5,1
1,15,0,11.018489,7,2,5,1
3,,,10.203275,,2,0,1
0,0,0,11.122842,7,2,5,1
1,0,0,11.122842,7,1,5,1
0,0,0,10.481131,7,1,5,1
1,0,0,11.45144,7,2,5,1
3,,,10.167261,,1,0,1
0,0,0,11.039831,7,1,6,1
1,0,0,10.849476,7,2,5,1
0,0,15,9.6210938,8,1,4,1
3,15,0,10.670803,7,2,5,1
0,0,0,10.729416,9,1,5,1
1,0,0,10.909985,7,2,5,1
3,0,0,9.9369221,,1,2,1
1,0,0,11.027614,13,2,0,1
0,0,0,11.027614,13,1,0,1
0,2,0,9.1840668,1,2,4,1
3,1,1,9.1840668,8,1,5,1
1,1,1,10.536984,4,1,3,1
0,0,0,9.543725,,1,5,1
1,0,0,10.692781,13,2,4,1
3,0,0,10.287281,7,1,5,1
0,2,1,9.9034872,4,2,5,1
1,2,1,9.9034872,4,1,4,1
3,,,8.9871969,,2,0,1
0,0,0,10.734553,13,2,6,1
5,,,9.5843334,,2,0,1
0,0,0,10.381273,7,1,5,1
1,0,0,9.2826614,12,2,6,1
0,0,0,10.600461,7,2,5,1
1,0,0,10.600461,7,1,5,0
3,,,9.6898813,,1,,0
0,0,0,10.951693,13,1,2,1
1,0,0,10.951693,13,2,2,1
0,0,0,11.184422,13,1,5,1
1,0,0,11.184422,13,2,5,1
0,2.9802322e-08,1,11.16573,7,1,5,0
1,1,0,11.499502,7,2,4,1
3,1,0,11.045585,7,1,5,0
0,2,10,10.864145,7,2,4,1
1,10,2,11.388137,7,1,5,1
3,12,0,10.249496,,1,1,1
0,1,0,11.082815,13,2,5,1
1,0,1,11.082815,13,1,2,1
0,0,0,10.981897,4,1,3,1
1,0,0,11.364426,8,2,4,1
3,0,0,10.275051,12,2,5,1
0,1.3333334,0,10.853168,13,2,0,1
3,.33333337,1,10.961584,4,1,4,1
7,1.3333334,0,10.728049,7,2,5,1
5,,,9.9812651,,2,0,1
0,7.5,0,10.911446,7,2,5,1
1,2.5,5,10.843494,7,1,6,1
3,,,9.9617567,1,1,0,1
0,0,0,5.4258471,1,1,2,1
1,0,0,5.4258471,1,2,4,1
3,0,0,5.4258471,,1,1,1
0,0,0,10.661173,7,1,5,1
1,0,0,9.2748785,1,2,5,1
3,,,9.2748785,,1,,1
1,0,0,9.392662,1,2,4,1
0,0,0,10.491274,4,1,3,1
0,0,0,,1,1,5,1
1,0,0,,1,2,1,1
3,0,0,,1,2,3,1
0,-2.3841858e-07,10,10.414313,7,1,5,1
1,10,0,9.028019,1,2,5,1
3,10,0,9.028019,,2,2,1
0,1,0,10.463579,13,2,5,1
1,0,1,10.355094,13,1,5,1
0,0,0,10.806693,13,1,1,1
1,0,0,10.830718,13,2,0,1
0,0,0,10.791461,13,2,2,1
0,0,0,11.906318,13,1,5,1
1,0,0,11.638677,13,2,5,1
0,0,0,10.616437,13,2,1,1
