rank,name,rich-officer,Degree,BonPwr,Closeness,Eigenvector,Between,2StepBet,Degree,EffSize,Efficiency,Constraint,Hierarchy,Ego Betweenness,Ln(Constraint),Indirects,Density,Coreness,RSH
21,liutang,0,0.065420561,37.33840561,0.155749634,0.490047127,0,0,7,1,0.142857149,0.492711365,0,0,-0.70783174,0.857142866,0.5,0.273576438,0.5
11,liying,0,0.009345794,0.031787213,0.109072372,3.01E-07,0,0,1,1,1,1,1,0,0,0,,0,0
97,liyun,2,0.009345794,0.071998902,0.143239632,0.000398842,0,0,1,1,1,1,1,0,0,0,,0,0
85,lizhong,0,0.018691588,0.071516313,0.086850651,3.84E-08,0.000705343,0.000176336,2,2,1,0.5,0,0,-0.693147182,0,0,0.091192149,0.5
2,lujunyi,1,0.046728972,0.239510819,0.151129946,0.000595145,0.094692297,0.001587022,5,4.599999905,0.920000017,0.300000012,0.050385926,4,-1.203972816,0.200000003,0.050000001,0.182384297,0.449999988
13,luzhishen,2,0.028037382,0.525067985,0.161875948,0.004340342,0.014694646,0.000264504,3,2.333333254,0.777777791,0.611111104,0.052204546,0,-0.492476493,0.333333343,0.166666672,0,0.777777791
54,lvfang,0,0.009345794,1.458114505,0.164110422,0.017124249,0,0,1,1,1,1,1,0,0,0,,0.045596074,0
67,malin,0,0.009345794,1.458114505,0.164110422,0.017124249,0,0,1,1,1,1,1,0,0,0,,0,0
70,mengkang,0,0.009345794,0.263739079,0.149441347,0.002644758,0,0,1,1,1,1,1,0,0,0,,0.045596074,0
80,muchen,1,0.009345794,0.026402485,0.08405342,0,0,0,1,1,1,1,1,0,0,0,,0,0
24,mugong,1,0.009345794,0.026402466,0.08405342,0,0,0,1,1,1,1,1,0,0,0,,0.045596074,0
48,oupeng,2,0.009345794,1.458114386,0.164110422,0.017124249,0,0,1,1,1,1,1,0,0,0,,0,0
47,peixuan,2,0,1.49E-09,0.083333336,-1.40E-44,0,0,0,0,,,,0,,0,,0,0
43,pengsi,2,0.018691588,0.067858368,0.085463256,-1.15E-43,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0.045596074,0
7,qinming,2,0.028037382,1.785031676,0.164869025,0.020351689,0.012696174,0.000352671,3,2.333333254,0.777777791,0.611111104,0.052204546,1,-0.492476493,0.333333343,0.166666672,0.091192149,0.416666657
27,ruanxiaoer,0,0.065420561,37.33840561,0.155749634,0.490047127,0,0,7,1,0.142857149,0.492711365,0,0,-0.70783174,0.857142866,0.5,0.136788219,0.5
31,ruanxiaoqi,0,0.065420561,37.33840561,0.155749634,0.490047127,0,0,7,1,0.142857149,0.492711365,0,0,-0.70783174,0.857142866,0.5,0.045596074,0.5
29,ruanxiaowu,0,0.065420561,37.33840942,0.155749634,0.490047127,0,0,7,1,0.142857149,0.492711365,0,0,-0.70783174,0.857142866,0.5,0.091192149,0.5
44,shanyangui,2,0.018691588,0.074468315,0.086151369,1.40E-18,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0.091192149,0
93,shien,2,0.009345794,0.317673922,0.153956831,0.003147739,0,0,1,1,1,1,1,0,0,0,,0,0
23,shijin,0,0.037383176,0.153317124,0.086991869,-4.90E-08,0.001058014,0.000529007,4,2.5,0.625,0.583333313,0.046808783,3,-0.538996518,0.5,0.25,0.136788219,0.375
107,shiqian,0,0.018691588,0.078202777,0.127229482,1.45E-05,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0,0.5
33,shixiu,0,0.028037382,0.127594844,0.138601035,8.81E-05,0.048668664,0.000352671,3,2.333333254,0.777777791,0.611111104,0.052204546,1,-0.492476493,0.333333343,0.166666672,0.091192149,0.416666657
1,songjiang,2,0.186915889,10.22207165,0.184482753,0.121337466,0.379915357,0.03315112,20,19.79999924,0.99000001,0.0625,0.022963108,91,-2.77258873,0.100000001,0.005263158,0.319172531,0.574795306
76,songqing,0,0.009345794,1.458114505,0.164110422,0.017124249,0,0,1,1,1,1,1,0,0,0,,0.045596074,0
82,songwan,0,0.009345794,0.054980382,0.13753213,0.000138473,0,0,1,1,1,1,1,0,0,0,,0,0
103,sunerniang,0,0.018691588,0.427982628,0.154848039,0.003797074,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0,0.5
39,sunli,2,0.028037382,0.102074981,0.0869212,1.14E-10,0.000705343,0.000352671,3,2.333333254,0.777777791,0.611111104,0.052204546,0,-0.492476493,0.333333343,0.166666672,0,0.833333313
100,sunxin,0,0.018691588,0.077615134,0.086850651,1.89E-11,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0.045596074,0
19,suochao,2,0.009345794,0.794750392,0.129383311,0.01013941,0,0,1,1,1,1,1,0,0,0,,0,0
87,tanglong,2,0.018691588,0.295020938,0.15198864,0.002684785,0.012696174,0.000176336,2,2,1,0.5,0,1,-0.693147182,0,0,0.045596074,0.400000006
75,taozhongwang,0,0.009345794,1.458114505,0.164110422,0.017124249,0,0,1,1,1,1,1,0,0,0,,0,0
69,tongmeng,0,0.018691588,0.323655874,0.150070131,0.003014984,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0,0.5
68,tongwei,0,0.018691588,0.323655963,0.150070131,0.003014984,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0.045596074,0
104,wangdingliu,0,0.009345794,0.035507493,0.125586852,5.37E-05,0,0,1,1,1,1,1,0,0,0,,0,0
58,wangying,0,0.018691588,1.513846517,0.164615378,0.017472252,0.012696174,0.000176336,2,2,1,0.5,0,1,-0.693147182,0,0,0.045596074,0.428571463
45,weidingguo,2,0.018691588,0.074468285,0.086151369,1.40E-18,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0.045596074,0
14,wusong,2,0.056074765,2.100639343,0.171749592,0.022303911,0.068300717,0.001939693,6,5,0.833333313,0.362654328,0.046596512,4,-1.014305234,0.444444448,0.100000001,0.227980375,0.333333343
3,wuyong,0,0.084112152,39.31956482,0.170926511,0.514025271,0.139657915,0.002645036,9,4.333333492,0.481481493,0.322751313,0.03504904,0,-1.130873203,0.666666687,0.291666657,0.410364687,0.597222209
64,xiangchong,0,0.018691588,0.982056081,0.130012155,0.012139228,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0.045596074,0
46,xiaorang,0,0.018691588,0.3332268,0.14965035,0.003079343,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0,0.5
35,xiebao,0,0.009345794,0.040586483,0.086709887,2.77E-12,0,0,1,1,1,1,1,0,0,0,,0,0
34,xiezhen,0,0.037383176,0.127411067,0.086991869,1.96E-11,0.00123435,0.000881679,4,3.5,0.875,0.40625,0.054754179,0,-0.900786519,0.25,0.083333336,0.182384297,0.166666672
40,xuanzan,2,0.018691588,0.074468292,0.086151369,5.85E-17,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0.091192149,0
84,xueyong,0,0.009345794,0.02640246,0.08405342,3.58E-17,0,0,1,1,1,1,1,0,0,0,,0,0
18,xuning,2,0.009345794,0.064122818,0.137886599,0.000378904,0,0,1,1,1,1,1,0,0,0,,0,0
