class1991,class2000,class2011,male1,smoking2000,smoking2011,drink2000,drink2011,prest00,prest91,prest11
student,student,labor,1.12,.10714286,7.1447368,.2631579,1.5131578,49,49,60
,student,labor,1,0,0,.041666668,.125,49,,60
,student,labor,1.12,0,6.3888888,.11111111,1.1111112,49,,60
student,student,self emp,1,0,0,0,.375,49,49,55
student,student,self emp,1.12,0,7.9268293,.24390244,2.1707318,49,49,55
,student,self emp,1,0,0,.090909094,0,49,,55
,student,self emp,1.12,0,2.6923077,.07692308,.92307693,49,,55
student,student,owner,1,0,0,0,.33333334,49,49,75
student,student,owner,1.12,0,9.2857141,0,2.1428571,49,49,75
,student,owner,1,,0,.5,3,49,,75
,student,owner,1.12,0,1,0,1.25,49,,75
student,student,soldier,1.12,0,2,0,2,49,49,62
farmer,student,farmer,1,0,0,0,0,49,32,32
student,student,farmer,1,,5,0,1,49,49,32
student,student,farmer,1.12,0,6.521739,.13043478,1.173913,49,49,32
,student,farmer,1,,0,0,0,49,,32
,student,farmer,1.12,0,8.3076925,.30769232,1.3076923,49,,32
student,student,student,1,,0,0,.5,49,49,49
student,student,student,1.12,,0,.5,2.75,49,49,49
,student,student,1,,.0089285718,.037313432,.080357142,49,,49
,student,student,1.12,,.16793893,.069182388,.1221374,49,,49
farmer,student,,1.12,,,,,49,32,
student,student,,1,0,,.0373444,,49,49,
student,student,,1.12,.28389829,0,.17408907,1,49,49,
,student,,1,0,0,.0302267,.043478262,49,,
,student,,1.12,.43157893,.11111111,.073563218,.22222222,49,,
unemp,retired,unemp,1,0,0,0,0,49,25,25
labor,retired,unemp,1,0,0,.40000001,.60000002,49,60,25
labor,retired,unemp,1.12,11.75,5.5,2,2.25,49,60,25
self emp,retired,unemp,1,0,0,0,0,49,55,25
owner,retired,unemp,1,0,0,0,0,49,75,25
owner,retired,unemp,1.12,25,25,0,1,49,75,25
farmer,retired,unemp,1,0,0,0,0,49,32,25
farmer,retired,unemp,1.12,0,1,0,0,49,32,25
retired,retired,unemp,1,0,0,0,0,49,49,25
retired,retired,unemp,1.12,10.333333,11.75,1,1.25,49,49,25
,retired,unemp,1,0,.05882353,.64705884,.41176471,49,,25
,retired,unemp,1.12,9.8000002,2.1818182,2.090909,1.4545455,49,,25
retired,retired,labor,1.12,10,10,3,2,49,49,60
,retired,labor,1,0,0,0,0,49,,60
,retired,labor,1.12,0,0,0,0,49,,60
self emp,retired,self emp,1.12,20,0,3,0,49,55,55
,retired,self emp,1.12,0,.5,1,2.5,49,,55
labor,retired,farmer,1.12,20,20,0,0,49,60,32
farmer,retired,farmer,1.12,0,0,0,0,49,32,32
retired,retired,farmer,1.12,19,10.5,2.5,2.5,49,49,32
,retired,farmer,1.12,5,10,1.5,2.5,49,,32
unemp,retired,retired,1,2.1666667,3.3333333,0,1.3333334,49,25,49
unemp,retired,retired,1.12,10,9,0,0,49,25,49
labor,retired,retired,1,0,0,0,.19047619,49,60,49
labor,retired,retired,1.12,8.8064518,5.2647057,1.8529412,1.5294118,49,60,49
self emp,retired,retired,1,0,0,1.2857143,.85714287,49,55,49
self emp,retired,retired,1.12,15.777778,10.444445,.8888889,.77777779,49,55,49
owner,retired,retired,1,0,0,1.6666666,1.6666666,49,75,49
owner,retired,retired,1.12,5.5714288,3.6666667,1,.8888889,49,75,49
soldier,retired,retired,1.12,,10,1,2,49,62,49
farmer,retired,retired,1,0,0,0,0,49,32,49
farmer,retired,retired,1.12,9.7142859,6.4285712,1.8571428,.14285715,49,32,49
student,retired,retired,1.12,0,0,0,0,49,49,49
retired,retired,retired,1,1.3461539,1.25,.10714286,.17857143,49,49,49
retired,retired,retired,1.12,4.3636365,2.1851852,2,.55555558,49,49,49
,retired,retired,1,.9518072,.81818181,.17045455,.19318181,49,,49
,retired,retired,1.12,5.6712327,3.9871795,1.9615384,1.1153846,49,,49
unemp,retired,,1,0,,.15384616,,49,25,
unemp,retired,,1.12,7.1666665,,2.3333333,,49,25,
labor,retired,,1,.1,,.15000001,,49,60,
labor,retired,,1.12,7.8709679,10,2.3939395,0,49,60,
self emp,retired,,1,0,,.083333336,,49,55,
self emp,retired,,1.12,2.875,,1.5555556,,49,55,
owner,retired,,1,0,,0,,49,75,
owner,retired,,1.12,4.1999998,,2.6500001,,49,75,
farmer,retired,,1,.083333336,,0,,49,32,
farmer,retired,,1.12,15,,2,,49,32,
student,retired,,1.12,1,,0,,49,49,
retired,retired,,1,1.0704225,,.28,,49,49,
retired,retired,,1.12,4.4505496,,1.6195652,,49,49,
,retired,,1,.55303031,0,.27464789,2,49,,
,retired,,1.12,6.2030077,,2.3185184,,49,,
unemp,,unemp,1,,0,,.60000002,,25,25
labor,,unemp,1,0,0,0,.23076923,,60,25
labor,,unemp,1.12,2,9.5,1.6666666,2,,60,25
self emp,,unemp,1,,0,0,0,,55,25
owner,,unemp,1,0,0,0,0,,75,25
owner,,unemp,1.12,,7.5,,2.5,,75,25
soldier,,unemp,1.12,,9,,5,,62,25
farmer,,unemp,1,1.2,0,.11111111,.032258064,,32,25
farmer,,unemp,1.12,0,6.1999998,1.6666666,1.6,,32,25
student,,unemp,1,,0,0,0,,49,25
student,,unemp,1.12,.5,3.5999999,.80000001,1.1,,49,25
retired,,unemp,1,,0,,5,,49,25
,,unemp,1,0,.47317073,.090909094,.15121952,,,25
,,unemp,1.12,.5,8.456954,.2,1.6666666,,,25
unemp,,labor,1,,0,,0,,25,60
unemp,,labor,1.12,,20,,5,,25,60
labor,,labor,1,0,0,0,.33333334,,60,60
labor,,labor,1.12,7.5,10.833333,1.5,2.1666667,,60,60
self emp,,labor,1,,0,0,0,,55,60
self emp,,labor,1.12,,14,0,2.8,,55,60
owner,,labor,1.12,,5,0,2,,75,60
farmer,,labor,1,,0,1,0,,32,60
farmer,,labor,1.12,,12.857142,.5,2.0714285,,32,60
student,,labor,1,0,0,0,.125,,49,60
student,,labor,1.12,0,6.3913045,.77777779,2.0434783,,49,60
,,labor,1,0,.035842296,.125,.24372759,,,60
,,labor,1.12,10,8.5802469,1.5714285,1.9793389,,,60
unemp,,self emp,1.12,,10,1,1,,25,55
labor,,self emp,1,0,0,0,.83333331,,60,55
labor,,self emp,1.12,,16.666666,1,2.5,,60,55
self emp,,self emp,1,,3.5,,1.5,,55,55
self emp,,self emp,1.12,,29,,1.5,,55,55
farmer,,self emp,1,,0,,1,,32,55
farmer,,self emp,1.12,,10.666667,.75,2.5833333,,32,55
student,,self emp,1,,0,1,.75,,49,55
student,,self emp,1.12,4.5,11.428572,3,1.7142857,,49,55
,,self emp,1,0,.033519555,0,.29608938,,,55
,,self emp,1.12,,9.1030931,.40000001,2.1082475,,,55
labor,,owner,1.12,,7.5,,4,,60,75
self emp,,owner,1.12,10,10.5,5,3.5,,55,75
farmer,,owner,1.12,,6,,0,,32,75
student,,owner,1.12,,16.75,,1.5,,49,75
,,owner,1,0,0,0,.42105263,,,75
,,owner,1.12,0,8.8461542,.5,2.2115386,,,75
,,soldier,1.12,,8.666667,,2.5,,,62
unemp,,farmer,1,,0,,0,,25,32
labor,,farmer,1,0,0,0,0,,60,32
labor,,farmer,1.12,,0,,2,,60,32
owner,,farmer,1,,0,,0,,75,32
owner,,farmer,1.12,,15.5,,2,,75,32
farmer,,farmer,1,,1.3461539,0,.23076923,,32,32
farmer,,farmer,1.12,,14.333333,.75,2.1333334,,32,32
student,,farmer,1,,0,0,0,,49,32
student,,farmer,1.12,20,15,1.3333334,1.75,,49,32
,,farmer,1,0,.4848485,.125,.11255411,,,32
,,farmer,1.12,10,10.620438,.5,2.051095,,,32
student,,student,1,,0,,0,,49,49
student,,student,1.12,,0,,0,,49,49
,,student,1,,0,,.057971016,,,49
,,student,1.12,,.20779221,,.14285715,,,49
unemp,,retired,1,,.33333334,,.33333334,,25,49
unemp,,retired,1.12,,0,,0,,25,49
labor,,retired,1,,0,0,0,,60,49
labor,,retired,1.12,,5.1999998,,1.2,,60,49
self emp,,retired,1,,0,0,0,,55,49
self emp,,retired,1.12,5.5,8.6000004,1.6666666,.89999998,,55,49
owner,,retired,1.12,,20,,0,,75,49
farmer,,retired,1,0,0,0,0,,32,49
farmer,,retired,1.12,,7.5,0,.25,,32,49
student,,retired,1,,0,,0,,49,49
student,,retired,1.12,0,0,0,0,,49,49
retired,,retired,1,,2,,0,,49,49
retired,,retired,1.12,,.25,,0,,49,49
,,retired,1,8,.52290076,.66666669,.22900763,,,49
,,retired,1.12,,4.4809523,,1.6142857,,,49
unemp,,,1,0,,0,,,25,
unemp,,,1.12,20,,.33333334,,,25,
labor,,,1,0,,.2,,,60,
labor,,,1.12,10,,1.25,,,60,
self emp,,,1,.5,,.5,,,55,
self emp,,,1.12,15.5,,2.25,,,55,
owner,,,1,,,,,,75,
owner,,,1.12,,,.5,,,75,
soldier,,,1.12,,,,,,62,
farmer,,,1,0,,0,,,32,
farmer,,,1.12,11,,.63999999,,,32,
student,,,1,0,,0,,,49,
student,,,1.12,1.25,,.57575756,,,49,
retired,,,1,0,,0,,,49,
retired,,,1.12,0,,0,,,49,
,,,1,1.4666667,0,.096774191,.42857143,,,
,,,1.12,6.6666665,1.6666666,1.5,.66666669,,,
