province,aids_incidence,aids_mort,aid_morb,aid_mortrate,hiv_incidence,hiv_mort,hiv_morb,hiv_mortrate,year,morb_ipolate,report,report_ipolate,org,sjw,news
gx,3520,1095,7.309,2.2737,6924,1671,14.3771,3.4697,2009,14.3771,50,50,5,250,243
gx,4085,1500,8.4123,3.089,7105,1520,14.6314,3.1301,2010,14.6314,59,59,5,295,240
gx,4085,1500,8.4123,3.089,7105,1520,14.6314,3.1301,2011,14.6314,,68,5,340,169.67999
gx,8432,3001,18.1528,6.4607,7138,2598,15.3671,5.5931,2012,15.3671,,77,5,385,145.03999
gx,7040,2770,15.0363,5.9163,6228,2077,13.302,4.4361,2013,13.302,,86,5,430,120.96
gz,5,3,.0131,.0078,738,,1.9304,,2004,1.9304,11,11,2,22,541
gz,43,23,.1161,.0621,1086,4,2.933,.0108,2005,2.933,38,38,2,76,433
gz,20,4,.0536,.0107,971,8,2.6032,.0214,2006,2.6032,39,39,2,78,559
gz,116,46,.3087,.1224,1033,97,2.7494,.2582,2007,2.7494,25,25,2,50,418
gz,172,101,.4572,.2685,1267,203,3.3679,.5396,2008,3.3679,32,32,2,64,255
gz,238,186,.6282,.4909,1605,256,4.2362,.6757,2009,4.2362,50,50,2,100,243
gz,304,223,.8004,.5872000000000001,1553,306,4.089,.8057,2010,4.089,59,59,2,118,240
gz,304,223,.8004,.5872000000000001,1553,306,4.089,.8057,2011,4.089,,68,2,136,169.67999
gz,1396,340,4.0242,.9801,2268,714,6.5379,2.0582,2012,6.5379,,77,2,154,145.03999
gz,1545,401,4.4346,1.151,2887,710,8.2865,2.0379,2013,8.2865,,86,2,172,120.96
hai,4,1,.0491,.0123,107,,1.3141,,2004,1.3141,11,11,1,11,541
hai,4,1,.0487,.0122,68,,.8286,,2005,.8286,38,38,1,38,433
hai,15,2,.1812,.0242,66,,.7971,,2006,.7971,39,39,1,39,559
hai,33,17,.3947,.2033,79,12,.945,.1435,2007,.945,25,25,1,25,418
hai,22,16,.2604,.1893,96,27,1.1361,.3195,2008,1.1361,32,32,1,32,255
hai,33,28,.3864,.3279,130,40,1.5223,.4684,2009,1.5223,50,50,1,50,243
hai,31,33,.3588,.3819,179,34,2.0716,.3935,2010,2.0716,59,59,1,59,240
hai,31,33,.3588,.3819,179,34,2.0716,.3935,2011,2.0716,,68,1,68,169.67999
hai,130,49,1.4817,.5585,208,78,2.3707,.889,2012,2.3707,,77,1,77,145.03999
hai,151,50,1.7032,.564,252,40,2.8425,.4512,2013,2.8425,,86,1,86,120.96
hb,27,6,.0397,.0088,51,,.075,,2004,.075,11,11,1,11,541
hb,59,22,.0866,.0323,93,2,.1366,.0029,2005,.1366,38,38,1,38,433
hb,49,6,.0715,.0088,125,2,.1825,.0029,2006,.1825,39,39,1,39,559
hb,79,19,.1145,.0275,144,10,.2088,.0145,2007,.2088,25,25,1,25,418
hb,88,65,.1267,.0936,183,23,.2636,.0331,2008,.2636,32,32,1,32,255
hb,78,45,.1116,.0644,215,33,.3076,.0472,2009,.3076,50,50,1,50,243
hb,119,49,.1692,.0697,253,40,.3597,.0569,2010,.3597,59,59,1,59,240
hb,119,49,.1692,.0697,253,40,.3597,.0569,2011,.3597,,68,1,68,169.67999
hb,278,53,.384,.0732,544,67,.7513,.0925,2012,.7513,,77,1,77,145.03999
hb,414,71,.5681000000000001,.0974,661,51,.907,.07,2013,.907,,86,1,86,120.96
hlj,14,5,.0373,.0133,42,,.112,,2004,.112,11,11,5,55,541
hlj,22,8,.0577,.021,74,2,.1942,.0052,2005,.1942,38,38,5,190,433
hlj,35,11,.0916,.0288,104,2,.2723,.0052,2006,.2723,39,39,5,195,559
hlj,36,18,.0942,.0471,94,4,.2459,.0105,2007,.2459,25,25,5,125,418
hlj,65,24,.17,.0628,225,15,.5884,.0392,2008,.5884,32,32,5,160,255
hlj,64,26,.1673,.068,246,11,.6431,.0288,2009,.6431,50,50,5,250,243
