province,aids_incidence,aids_mort,aid_morb,aid_mortrate,hiv_incidence,hiv_mort,hiv_morb,hiv_mortrate,year,morb_ipolate,report,report_ipolate,org,sjw,news
xj,539,356,2.4969,1.6492,3720,422,17.2331,1.9549,2011,17.2331,,68,1,68,169.67999
xj,2450,516,11.0925,2.3362,4922,708,22.2846,3.2055,2012,22.2846,,77,1,77,145.03999
xj,1791,584,8.0214,2.6156,4231,626,18.9495,2.8037,2013,18.9495,,86,1,86,120.96
xz,,,,,,,,,2004,.0368999999999999,11,11,1,11,541
xz,2,,.073,,1,,.0365,,2005,.0365,38,38,1,38,433
xz,3,1,.1083,.0361,1,,.0361,,2006,.0361,39,39,1,39,559
xz,1,,.0356,,8,1,.2847,.0356,2007,.2847,25,25,1,25,418
xz,5,3,.1761,.1056,27,1,.9507,.0352,2008,.9507,32,32,1,32,255
xz,3,1,.1045,.0348,12,2,.4181,.0697,2009,.4181,50,50,1,50,243
xz,4,1,.1379,.0345,32,2,1.1034,.069,2010,1.1034,59,59,1,59,240
xz,4,1,.1379,.0345,32,2,1.1034,.069,2011,1.1034,,68,1,68,169.67999
xz,21,4,.6924,.1319,48,1,1.5825,.033,2012,1.5825,,77,1,77,145.03999
xz,9,2,.2922,.0649,57,6,1.8507,.1948,2013,1.8507,,86,1,86,120.96
yn,298,105,.6844,.2411,3655,,8.3939,,2004,8.3939,11,11,3,33,541
yn,319,80,.7226,.1812,4750,23,10.7594,.0521,2005,10.7594,38,38,3,114,433
yn,829,114,1.863,.2562,7208,43,16.1981,.0966,2006,16.1981,39,39,3,117,559
yn,1462,534,3.2612,1.1912,7648,372,17.06,.8298,2007,17.06,25,25,3,75,418
yn,1701,763,3.7683,1.6903,7894,759,17.4878,1.6814,2008,17.4878,32,32,3,96,255
yn,2038,956,4.486,2.1043,8155,763,17.9507,1.6795,2009,17.9507,50,50,3,150,243
yn,2200,1085,4.813,2.3737,7831,1070,17.1319,2.3408,2010,17.1319,59,59,3,177,240
yn,2200,1085,4.813,2.3737,7831,1070,17.1319,2.3408,2011,17.1319,,68,3,204,169.67999
yn,6312,1574,13.6299,3.3988,8060,1393,17.4044,3.008,2012,17.4044,,77,3,231,145.03999
yn,5812,1677,12.4748,3.5995,7481,1592,16.0571,3.417,2013,16.0571,,86,3,258,120.96
zj,28,10,.0596,.0213,181,,.3851,,2004,.3851,11,11,3,33,541
zj,44,14,.0903,.0287,257,,.5273,,2005,.5273,38,38,3,114,433
zj,70,17,.1429,.0347,485,4,.9902,.0082,2006,.9902,39,39,3,117,559
zj,122,30,.245,.0602,626,16,1.257,.0321,2007,1.257,25,25,3,75,418
zj,159,60,.3142,.1186,775,17,1.5316,.0336,2008,1.5316,32,32,3,96,255
zj,245,68,.4785,.1328,934,24,1.8242,.0469,2009,1.8242,50,50,3,150,243
zj,455,93,.8784,.1795,1175,37,2.2683,.0714,2010,2.2683,59,59,3,177,240
zj,455,93,.8784,.1795,1175,37,2.2683,.0714,2011,2.2683,,68,3,204,169.67999
zj,976,114,1.7866,.2087,1771,76,3.2418,.1391,2012,3.2418,,77,3,231,145.03999
zj,1250,152,2.2823,.2775,2003,77,3.6571,.1406,2013,3.6571,,86,3,258,120.96
